state,yr,qtr,index_nsa,index_sa,date
AZ,1995,2,119.24,118.98,4/1/1995
AZ,1995,3,121.14,120.68,7/1/1995
AZ,1995,4,122.07,121.75,10/1/1995
AZ,1996,1,123.75,123.83,1/1/1996
AZ,1996,2,125.24,124.9,4/1/1996
AZ,1996,3,126.71,126.15,7/1/1996
AZ,1996,4,126.84,126.66,10/1/1996
AZ,1997,1,127.94,127.99,1/1/1997
AZ,1997,2,129.61,129.19,4/1/1997
AZ,1997,3,131.02,130.44,7/1/1997
AZ,1997,4,131.93,131.85,10/1/1997
AZ,1998,1,133.28,133.29,1/1/1998
AZ,1998,2,135.81,135.3,4/1/1998
AZ,1998,3,137.66,137.09,7/1/1998
AZ,1998,4,138.83,138.77,10/1/1998
AZ,1999,1,141.02,141.04,1/1/1999
AZ,1999,2,143.52,142.91,4/1/1999
AZ,1999,3,145.67,145.17,7/1/1999
AZ,1999,4,147.02,146.9,10/1/1999
AZ,2000,1,149.42,149.45,1/1/2000
AZ,2000,2,151.97,151.28,4/1/2000
AZ,2000,3,153.37,152.93,7/1/2000
AZ,2000,4,155.73,155.52,10/1/2000
AZ,2001,1,157.56,157.62,1/1/2001
AZ,2001,2,160.96,160.23,4/1/2001
AZ,2001,3,162.89,162.43,7/1/2001
AZ,2001,4,165.74,165.47,10/1/2001
AZ,2002,1,166.53,166.68,1/1/2002
AZ,2002,2,170.13,169.35,4/1/2002
AZ,2002,3,172.68,172.06,7/1/2002
AZ,2002,4,176.06,175.86,10/1/2002
AZ,2003,1,179.13,179.39,1/1/2003
AZ,2003,2,183.14,182.25,4/1/2003
AZ,2003,3,186.91,186.03,7/1/2003
AZ,2003,4,192.39,192.39,10/1/2003
AZ,2004,1,197.98,198.36,1/1/2004
AZ,2004,2,206.02,204.92,4/1/2004
AZ,2004,3,216.54,215.17,7/1/2004
AZ,2004,4,227.44,227.91,10/1/2004
AZ,2005,1,243.62,244.13,1/1/2005
AZ,2005,2,268.74,267.1,4/1/2005
AZ,2005,3,290.41,288.17,7/1/2005
AZ,2005,4,301.54,302.78,10/1/2005
AZ,2006,1,313.84,314.56,1/1/2006
AZ,2006,2,320.14,317.94,4/1/2006
AZ,2006,3,316.5,313.64,7/1/2006
AZ,2006,4,318.13,320.05,10/1/2006
AZ,2007,1,317.1,317.81,1/1/2007
AZ,2007,2,315.64,313.26,4/1/2007
AZ,2007,3,308.47,305.52,7/1/2007
AZ,2007,4,288.24,290.22,10/1/2007
AZ,2008,1,276.42,277.03,1/1/2008
AZ,2008,2,263.28,261.32,4/1/2008
AZ,2008,3,244.47,242.04,7/1/2008
AZ,2008,4,224.14,225.66,10/1/2008
AZ,2009,1,214.25,214.79,1/1/2009
AZ,2009,2,203.59,202.12,4/1/2009
AZ,2009,3,201.89,199.87,7/1/2009
AZ,2009,4,194.48,195.61,10/1/2009
AZ,2010,1,190.57,191.2,1/1/2010
AZ,2010,2,187.41,186.08,4/1/2010
AZ,2010,3,181.3,179.53,7/1/2010
AZ,2010,4,171.99,172.75,10/1/2010
AZ,2011,1,165.99,166.73,1/1/2011
AZ,2011,2,162.6,161.39,4/1/2011
AZ,2011,3,163.73,162.27,7/1/2011
AZ,2011,4,166.36,166.88,10/1/2011
AZ,2012,1,172.35,173.22,1/1/2012
AZ,2012,2,183.95,182.53,4/1/2012
AZ,2012,3,194.36,192.79,7/1/2012
AZ,2012,4,197.19,197.65,10/1/2012
AZ,2013,1,203.78,204.88,1/1/2013
AZ,2013,2,217,215.17,4/1/2013
AZ,2013,3,221.24,219.71,7/1/2013
AZ,2013,4,226.12,226.59,10/1/2013
AZ,2014,1,227.37,228.51,1/1/2014
AZ,2014,2,232.44,230.36,4/1/2014
AZ,2014,3,233.8,232.42,7/1/2014
AZ,2014,4,235.21,235.7,10/1/2014
AZ,2015,1,240.08,241.09,1/1/2015
AZ,2015,2,246.52,244.26,4/1/2015
AZ,2015,3,251.2,249.97,7/1/2015
AZ,2015,4,253.33,253.86,10/1/2015
AZ,2016,1,257.43,258.22,1/1/2016
AZ,2016,2,265.84,263.54,4/1/2016
AZ,2016,3,267.38,266.2,7/1/2016
AZ,2016,4,272.08,272.61,10/1/2016
AZ,2017,1,277.34,277.94,1/1/2017
AZ,2017,2,286.21,283.95,4/1/2017
AZ,2017,3,290.91,289.67,7/1/2017
AZ,2017,4,293.18,293.67,10/1/2017
AZ,2018,1,302.11,302.67,1/1/2018
AZ,2018,2,308.82,306.59,4/1/2018
AZ,2018,3,313.16,311.69,7/1/2018
AZ,2018,4,318.37,318.99,10/1/2018
AZ,2019,1,320.77,321.31,1/1/2019
AZ,2019,2,330.04,327.74,4/1/2019
AZ,2019,3,337.08,335.27,7/1/2019
AZ,2019,4,343.46,344.34,10/1/2019
AZ,2020,1,352.23,352.89,1/1/2020
AZ,2020,2,361.67,359.08,4/1/2020
AZ,2020,3,375.95,373.53,7/1/2020
AZ,2020,4,392.51,393.97,10/1/2020
AZ,2021,1,415.29,416.23,1/1/2021
AZ,2021,2,448.37,444.82,4/1/2021
AZ,2021,3,480.14,476.73,7/1/2021
AZ,2021,4,499.84,502.16,10/1/2021
AZ,2022,1,527.86,529.43,1/1/2022
AZ,2022,2,557.2,552.28,4/1/2022
AZ,2022,3,543.98,539.73,7/1/2022
AZ,2022,4,528.98,531.98,10/1/2022
AZ,2023,1,530.53,532.38,1/1/2023
AZ,2023,2,543.07,537.78,4/1/2023
AZ,2023,3,555.01,550.55,7/1/2023
AZ,2023,4,563.34,566.88,10/1/2023
AZ,2024,1,558.89,561.01,1/1/2024
AZ,2024,2,573.3,567.36,4/1/2024
AZ,2024,3,570.44,565.87,7/1/2024
CA,1991,1,100,100,1/1/1991
CA,1991,2,99.72,99.16,4/1/1991
CA,1991,3,99.5,98.78,7/1/1991
CA,1991,4,99.64,99.11,10/1/1991
CA,1992,1,99.1,99.1,1/1/1992
CA,1992,2,98.02,97.47,4/1/1992
CA,1992,3,97.74,96.99,7/1/1992
CA,1992,4,95.96,95.49,10/1/1992
CA,1993,1,93.65,93.65,1/1/1993
CA,1993,2,92.99,92.47,4/1/1993
CA,1993,3,91.6,90.85,7/1/1993
CA,1993,4,90.38,90.01,10/1/1993
CA,1994,1,88.92,88.92,1/1/1994
CA,1994,2,88.65,88.14,4/1/1994
CA,1994,3,88.28,87.5,7/1/1994
CA,1994,4,87.02,86.75,10/1/1994
CA,1995,1,86.26,86.25,1/1/1995
CA,1995,2,86.21,85.67,4/1/1995
CA,1995,3,86.39,85.59,7/1/1995
CA,1995,4,85.25,85.08,10/1/1995
CA,1996,1,85.08,85.06,1/1/1996
CA,1996,2,85.08,84.49,4/1/1996
CA,1996,3,85.45,84.66,7/1/1996
CA,1996,4,85.27,85.18,10/1/1996
CA,1997,1,84.86,84.81,1/1/1997
CA,1997,2,86.97,86.3,4/1/1997
CA,1997,3,88.19,87.4,7/1/1997
CA,1997,4,88.98,88.93,10/1/1997
CA,1998,1,91.14,91.07,1/1/1998
CA,1998,2,94.47,93.68,4/1/1998
CA,1998,3,96.55,95.74,7/1/1998
CA,1998,4,98.07,98.03,10/1/1998
CA,1999,1,100.59,100.52,1/1/1999
CA,1999,2,103.78,102.86,4/1/1999
CA,1999,3,106.13,105.25,7/1/1999
CA,1999,4,108.26,108.2,10/1/1999
CA,2000,1,111.67,111.62,1/1/2000
CA,2000,2,116.01,114.98,4/1/2000
CA,2000,3,119.7,118.69,7/1/2000
CA,2000,4,123.63,123.53,10/1/2000
CA,2001,1,127.84,127.84,1/1/2001
CA,2001,2,132.37,131.26,4/1/2001
CA,2001,3,135.27,134.02,7/1/2001
CA,2001,4,137.81,137.66,10/1/2001
CA,2002,1,142.07,142.19,1/1/2002
CA,2002,2,149.62,148.42,4/1/2002
CA,2002,3,156.79,155.18,7/1/2002
CA,2002,4,161.44,161.26,10/1/2002
CA,2003,1,167.01,167.31,1/1/2003
CA,2003,2,174.64,173.26,4/1/2003
CA,2003,3,182.37,180.31,7/1/2003
CA,2003,4,191.08,190.91,10/1/2003
CA,2004,1,200.42,200.93,1/1/2004
CA,2004,2,215.17,213.41,4/1/2004
CA,2004,3,230.35,227.6,7/1/2004
CA,2004,4,239.57,239.4,10/1/2004
CA,2005,1,251.16,251.93,1/1/2005
CA,2005,2,266.98,264.75,4/1/2005
CA,2005,3,280.2,276.74,7/1/2005
